Spółka,Kwartały,Wartość księgowa,Cena/WK,Zysk na akcję,Cena/Zysk,Przychód,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBIT,Wartość przedsiębiorstwa/EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA,I stopień pokrycia,II stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Płynność podwyższona,Pokrycie zobowiązań należnościami,Udział kapitału pracującego w aktywach,Pokrycie kosztów kapitałem obrotowym,Rotacja należności,Cykl należności,Cykl zobowiązań,Rotacja zapasów,Cykl zapasów,Rotacja majątku obrotowego,Rotacja majątku trwałego,Rotacja majątku ogółem,Cykl operacyjny,Cykl konwersji gotówki,Data
DAD,2025/Q1,"10,36","2,23","1,11","20,80","26,50","0,87","1,48","15,66","6,72","3,44","30,48","1,15","15,59","20,66","10,71%","4,61%","5,57%","4,19%","5,89%","5,18%","31,80%","6,12%","-20,06%","95,09%","0,57","1,33","0,07","4,04","3,05","0,46","0,67","1,91",155 610 000,"6,82",86 190 000,"3,78","2,85","3,05","0,03","0,15","1,57","0,03","0,12","0,31","0,42","20,20",18,118,"1,28",284,"1,63","8,57","1,37",302,184,2025-05-01
DAT,2025/Q1,"-0,84",,"-5,25",,"5,62","9,98","-5,33",,"-6,10",,"54,20","9,64","-11,48","-10,17","622,94%","-50,58%","-94,86%","-93,40%","-78,62%","-95,79%",,"-51,37%","200,62%","49,83%","1,08","-13,32","-0,19","0,81","-0,13","-0,07","2,19","-0,35",51 191 000,"-1,92",-10 682 000,"0,40","-0,16","-0,13","0,19","0,46","0,46","0,19","0,26","-0,57","-0,63","3,28",111,684,,,"1,01","1,07","0,52",,,2025-05-01
DBC,2025/Q1,"102,15","0,82","13,51","6,20","196,48","0,43","13,86","6,05","38,40","2,18","82,91","0,42","3,98","5,98","13,22%","7,91%","7,05%","6,88%","3,51%","8,55%","4,41%","8,12%","258,22%",,"0,35","0,58","0,00","192,28","1,53","0,60","0,61","0,85",306 151 000,"1,07",-12 316 000,"-0,04","1,40","1,40","0,02","1,32","1,66","0,63","0,84","0,23","0,21","4,66",78,123,"18,79",19,"1,90","2,74","1,12",97,-26,2025-05-01
DBE,2024/Q3,"7,40","1,87","-0,93",,"7,99","1,73","-0,73",,"5,04","2,74","20,66","2,58","-129,89","-28,27","-12,60%","-4,63%","-9,14%","-11,66%","-12,90%","-13,14%",,"-3,63%","-232,76%","-216,89%","0,63","1,72","0,87","0,06","5,87","0,69","0,72","2,25",41 139 000,"-74,39",23 852 000,"-43,13","3,14","5,87","0,14","2,78","2,83","0,14","2,63","0,57","1,36","0,47",769,269,"37,88",10,"0,45","3,32","0,40",779,510,2024-11-01
DCR,2025/Q1,"35,37","1,98","7,45","9,39","58,09","1,21","9,69","7,22","9,97","7,02","72,99","1,26","6,07","7,53","21,08%","15,06%","16,69%","12,83%","18,06%","16,28%","42,11%","19,58%","82,85%","67,19%","0,29","0,40","0,17","3,58","1,63","0,84","0,59","0,82",105 049 000,"0,83",31 505 000,"0,25","1,39","1,63","0,51","1,88","2,97","0,51","1,31","0,32","0,51","6,22",59,55,"3,48",105,"2,53","2,32","1,21",164,109,2025-05-01
DDI,2025/Q1,"0,12","1,07","-0,07",,"0,35","0,38","-0,03",,"0,09","1,42","0,35","1,00","2,89","-13,37","-52,61%","-7,85%","-7,49%","-18,67%","-9,08%","-14,40%",,"-3,15%","-428,50%",,"0,57","3,82",,,,,"0,84","0,39",6 229 000,"3,92",2 856 000,"1,80","0,47","0,47","0,00","-0,45","1,20","0,00","0,03","0,11","0,40","34,00",11,473,"0,75",488,"0,67","1,06","0,41",499,26,2025-05-01
DEG,2025/Q1,"0,14","7,59","-0,12",,"0,01","116,87","-0,11",,"-0,25",,"1,20","127,07","-28,55","-10,72","-83,77%","-29,62%","-1 185,00%","-1 290,00%","-1 395,00%","-1 290,00%",,"-27,21%","310,84%","100,00%","0,65","1,83",,,,,"14,08","5,22",563 000,"-6,33",204 000,"-2,29","0,37","0,37",,"0,07","0,07",,"0,07","-0,60","-3,46","0,40",903,9 892,,,"0,37","0,02","0,02",,,2025-05-01
DEK,2025/Q1,"78,39","0,68","12,22","4,39","166,90","0,32","16,87","3,18","37,28","1,44","70,26","0,42","3,71","4,16","15,58%","5,84%","10,11%","7,32%","11,03%","9,21%","19,82%","8,06%","319,58%","47,46%","0,62","1,64","0,70","0,34","3,09","0,64","0,78","1,41",729 874 000,"4,61",139 329 000,"0,88","1,82","3,09","0,54","1,15","2,24","0,56","0,59","0,44","0,70","3,33",110,161,"1,89",193,"1,02","4,30","0,83",303,142,2025-05-01
DEL,2025/Q3,"12,58","0,57","0,43","16,82","67,26","0,11","0,75","9,56","0,04","185,59","13,34","0,20","6,10","17,72","3,40%","1,52%","1,12%","0,64%","1,33%","0,90%",,"2,67%","18,23%","297,67%","0,55","1,24","0,27","2,14","1,27","0,57","1,00","1,00",161 001 000,"6,15",73 443 000,"2,81","1,00","1,27","0,18","0,68","1,28","0,18","0,50","0,12","0,05","11,00",33,64,"9,44",39,"4,26","5,32","2,37",72,8,2025-11-01
DGA,2025/Q1,"12,78","1,49","-1,30",,"2,70","7,05","-2,95",,"9,50","2,00","8,28","3,07","-2,89","-2,81","-10,15%","-5,14%","-109,32%","-48,11%","-112,24%","-60,45%","-55,04%","-11,68%","-24,35%","3,74%","0,49","0,97","0,11","1,25","4,31","0,56","0,57","2,21",-7 855 000,"2,43",-12 117 000,"3,75","3,89","4,31","0,97","1,98","1,98","1,75","0,23","0,43","2,66","1,44",253,799,,,"0,15","0,98","0,13",,,2025-05-01
DGE,2025/Q1,"13,38","1,73","3,00","7,74","18,33","1,27","3,15","7,36","13,83","1,68","22,51","1,23","6,74","7,14","22,39%","19,66%","17,19%","16,34%","19,90%","17,69%",,"20,68%","509,87%","2,57%","0,07","0,08",,,,,"0,08","3,51",473 000,"0,13",-745 000,"-0,21","46,72","46,72","0,61","2,38","13,33","0,61","2,32","0,91","0,95","6,60",55,33,"1,36",269,"1,23","60,73","1,21",324,291,2025-05-01
DGN,2025/Q1,"0,46","17,12","0,15","50,60","3,56","2,19","0,28","28,27","-0,88",,"8,31","2,34","11,14","30,11","33,84%","6,34%","7,76%","4,33%","5,22%","5,81%",,"11,35%","16,65%","58,57%","0,64","3,40","1,94","1,90","1,00","0,55","2,33","0,60",5 550 000,"1,32",2 849 000,"0,68","0,26","0,76","0,84","0,35","1,00","0,84","0,11","0,00","0,00","21,67",17,85,"230,24",2,"6,87","2,29","1,72",19,-66,2025-05-01
DIG,2025/Q1,"12,44","4,74","6,36","9,27","18,33","3,22","8,03","7,35","2,39","24,71","59,54","3,25","5,46","7,41","51,15%","29,71%","43,80%","34,72%","43,68%","47,22%","58,38%","37,49%","75,28%","-167,05%","0,39","0,68","0,36","1,77","1,60","0,79","0,78","0,92",4 157 000,"0,09",2 277 000,"0,05","1,17","1,60","1,19","2,74","2,74","1,88","0,85","0,32","1,45","4,51",81,93,,,"1,76","1,68","0,86",,,2025-05-01
DKR,2025/Q1,"2,21","3,39","0,14","55,20","16,32","0,46","0,29","25,79","1,72","4,36","8,31","0,51","20,47","28,57","6,15%","3,31%","1,78%","0,83%","2,29%","1,32%",,"7,09%","11,57%","153,50%","0,46","0,86",,,,,"0,52","2,35",1 881 000,"4,20",891 000,"1,99","4,49","4,49","0,10","0,88","1,91","0,10","0,78","0,42","0,11","10,51",35,50,"8,07",45,"3,92","38,49","3,56",80,30,2025-05-01
DNP,2025/Q1,"75,50","5,98","15,51","29,10","305,56","1,48","19,63","22,99","-15,54",,"458,90","1,50","19,08","23,37","20,55%","11,88%","6,43%","5,08%","6,38%","6,06%","23,56%","15,03%","71,46%","101,47%","0,42","0,73","0,08","14,17","0,90","0,63","1,39","1,15",5 004 913 000,"2,12",735 619 000,"0,31","0,83","0,90","0,08","0,15","0,81","0,08","0,05","-0,07","-0,04","103,08",4,55,"8,33",44,"8,06","3,57","2,47",48,-7,2025-05-01
DNS,2025/Q1,"1,44","0,43","0,09","7,25","0,24","2,62","-0,02",,"1,29","0,48","0,49","2,07","353,92","-26,69","5,94%","4,97%","-7,76%","36,13%","-8,37%","54,43%",,"-1,07%","-88,86%","-197,36%","0,01","0,02",,,,,"0,02","0,06",-14 165 000,"-615,87",-2 156 000,"-93,74","3,48","3,48","5,87","48,47","59,22","39,60","12,03","0,75","5,44","0,73",498,267,"45,80",8,"0,17","0,56","0,13",506,239,2025-05-01
DOM,2025/Q1,"71,64","2,99","22,49","9,54","124,20","1,73","27,43","7,82","63,57","3,37","230,37","1,85","8,11","8,40","31,39%","10,74%","22,09%","18,11%","23,07%","22,43%","32,23%","13,10%","167,86%","63,26%","0,66","1,92","0,40","0,09","12,45","0,48","0,68","6,07",3 052 650 000,"4,16",409 522 000,"0,56","8,87","12,45","0,12","0,26","1,85","0,18","0,06","0,44","1,11","18,86",19,334,"0,50",731,"0,63","17,28","0,60",750,416,2025-05-01
DRF,2025/Q1,"0,05","10,46","-0,08",,"2,52","0,21","-0,06",,"0,05","10,46","0,49","0,19","-7,86","-7,82","-153,37%","-80,00%","-2,47%","-3,14%","-3,10%","-3,14%",,"-62,97%","234,92%","-94,34%","0,48","0,92",,,,,"0,48",,-71 000,"0,31",-197 000,"0,85",,,"1,23","1,64","2,09","1,40","0,20","0,52","0,02","314,30",1,11,"38,58",9,"17,45","711,62","17,04",10,-1,2025-05-01
DRG,2025/Q1,"0,48","3,73","0,01","157,50","0,44","4,09","-0,02",,"0,48","3,73","1,54","3,50","-85,26","-85,26","2,37%","2,27%","-4,11%","2,59%","-14,81%","6,59%",,"-3,59%","-5,99%",,"0,01","0,01",,,,,"0,01","0,28",-530 000,"13,95",-540 000,"14,21","28,17","28,17","54,00","64,40","102,30","54,00","13,20","0,96","0,95","6,01",61,2,"5,26",69,"0,90","20,22","0,86",130,128,2025-05-01
DTR,2025/Q1,"5,49","2,17","-2,21",,"29,49","0,40","-1,94",,"-0,26",,"12,24","0,42","-22,55","-6,29","-40,18%","-20,10%","-6,59%","-7,48%","-2,66%","-6,93%",,"-17,71%","-319,02%","195,74%","0,49","0,99","0,10","0,69","1,04","0,55","1,05","0,99",11 615 000,"-8,61",839 000,"-0,62","0,94","1,04","0,15","1,06","1,06","0,15","0,91","0,03","0,01","5,81",63,69,,,"4,78","4,28","2,26",,,2025-05-01
DTX,2025/Q1,"0,11","1,56","-0,00",,"0,02","11,18","0,00","199,14","0,11","1,56","0,17","11,07","175,35","197,27","-0,29%","-0,29%","5,61%","-2,11%","4,56%","-2,11%",,"0,78%","-54,55%",,"0,01","0,01",,,,,"0,01",,-15 000,"-0,83",-30 000,"-1,67",,,"2,00","137,53","137,53","2,00","111,60","0,99","7,59","0,17",2 156,32,,,"0,14","87,69","0,14",,,2025-05-01
DUA,2025/Q1,"0,16","7,03","-0,17",,"0,70","1,65","-0,16",,"0,18","6,51","1,14","1,65","-7,23","-7,23","-101,38%","-46,27%","-22,75%","-23,82%","8,05%","-26,48%",,"-44,17%","190,52%",,"0,49","1,07","0,28",,"38,13","0,58","0,50","13,58",680 000,"-1,07",-22 000,"0,03","27,25","34,92","0,04","0,41","2,72","0,04","0,51","0,62","0,35","9,83",37,64,"1,84",199,"1,54","26,89","1,46",236,172,2025-05-01
DVL,2025/Q1,"3,90","1,67","0,79","8,27","3,59","1,82","0,85","7,71","2,85","2,29","7,64","2,13","8,86","9,03","20,23%","8,10%","23,59%","21,99%","24,06%","25,95%","33,74%","8,69%","128,86%",,"0,60","1,50","0,42","0,04","5,26","0,57","0,67","2,49",1 986 746 000,"5,04",510 900 000,"1,29","3,70","5,26","0,23","0,54","2,07","0,36","0,08","0,46","1,90","10,44",35,414,"0,39",924,"0,42","3,64","0,38",959,545,2025-05-01
EAH,2025/Q1,"30,33","1,21","4,75","7,73","135,26","0,27","7,72","4,76","-8,67",,"73,68","0,54","4,79","9,55","15,66%","5,01%","5,70%","3,51%","5,02%","4,42%","67,43%","8,14%","380,79%","98,93%","0,68","2,13","0,58","1,54","1,23","0,50","1,16","0,90",141 584 000,"4,12",82 587 000,"2,40","0,78","1,23","0,02","0,19","1,19","0,02","0,16","0,09","0,24","15,70",23,107,"1,15",317,"2,80","4,06","1,66",340,233,2025-05-01
EAT,2025/Q1,"7,02","2,42","0,03","577,17","50,17","0,34","2,19","7,76","-32,97",,"45,63","0,91","6,19","20,85","0,42%","0,07%","4,36%","0,06%","5,61%","1,31%","12,48%","4,90%","0,39%","128,01%","0,84","5,34","3,91","1,09","0,86","0,77","8,24","1,44",7 725 571 350,"4,77",6 290 493 650,"3,89","0,18","0,86","0,23","0,39","0,45","0,23","0,13","-0,12","-0,14","33,31",11,74,"68,07",5,"9,70","1,28","1,13",16,-58,2025-05-01
EBX,2025/Q1,"0,38","3,04","0,06","19,28","0,98","1,19","0,08","13,86","0,33","3,59","1,19","1,21","10,73","14,14","15,78%","10,64%","8,58%","6,17%","9,10%","8,29%",,"14,80%","34,48%","38,04%","0,29","0,42","0,14","1,33","5,38","0,77","0,33","1,57",5 816 000,"1,18",1 049 000,"0,21","4,71","5,38","0,28","2,98","4,52","0,28","1,93","0,67","0,44","4,76",77,59,"4,81",76,"1,90","10,88","1,62",153,94,2025-05-01
ECC,2025/Q1,"0,25","1,96","-0,01",,"0,05","9,17","-0,01",,"0,25","1,96","0,47","9,01","-57,10","-56,49","-3,75%","-3,50%","-15,95%","-17,59%","-16,38%","-17,50%",,"-3,17%","-295,65%",,"0,07","0,07",,,,,"0,07","181,69",197 000,"-1,08",-193 000,"1,05","2 716,50","2 716,50","0,49","1,77","14,95","0,49","1,28","0,93","4,04","2,38",153,82,"0,25",1 433,"0,20","125,41","0,20",1 586,1 504,2025-05-01
ECH,2025/Q1,"3,85","1,16","-0,27",,"1,98","2,25","0,00","1 694,84","-4,66",,"12,21","6,15","285,45","4 638,63","-7,11%","-1,60%","0,13%","-13,79%","11,00%","-6,12%","33,29%","0,02%","47,76%","-77,67%","0,73","3,24","1,93","0,02","1,21","0,66","1,60","0,66",4 790 495 000,"271,45",3 196 956 000,"181,15","0,41","1,21","0,09","0,32","1,55","0,17","0,15","0,16","2,16","2,08",176,874,"0,25",1 442,"0,26","0,23","0,12",1 618,744,2025-05-01
ECK,2025/Q1,"0,91","2,78","0,32","7,85","4,12","0,62","0,46","5,46","-0,27",,"3,08","0,75","5,23","6,62","35,49%","15,98%","11,27%","7,85%","13,07%","9,81%",,"22,95%","81,01%","188,62%","0,50","1,10","0,29","4,75","1,00","0,58","1,37","0,97",36 847 000,"1,66",20 383 000,"0,92","0,71","0,91","0,03","0,45","0,99","0,04","0,50","-0,00","-0,00","10,86",34,64,"13,37",27,"5,70","3,58","2,20",61,-3,2025-05-01
ECL,2025/Q1,"1,22","5,58","-0,23",,"0,00",,"-0,08",,"0,10","66,63","6,74",,"-83,73","-83,73","-18,89%","-18,56%",,,,,,"-6,50%","313,73%",,"0,02","0,02",,,,,"0,17","0,19",-69 000,"0,62",-83 000,"0,74","1,09","1,09","2,77","5,73","5,73","3,30","2,43","0,08","1,27",,,,,,,,,,,2025-05-01
ECT,2025/Q1,"1,06","1,55","0,05","34,40","0,68","2,42","0,06","27,16","1,13","1,46","1,63","2,39","26,08","26,87","4,51%","3,05%","8,90%","7,03%","-24,29%","9,69%",,"3,86%","-90,56%",,"0,19","0,28","0,06","0,03","9,43","0,71","0,21","1,57",1 192 000,"3,53",-96 000,"-0,28","7,51","7,94","0,33","5,05","5,99","0,33","3,07","0,76","1,41","1,17",311,93,"41,08",9,"0,58","5,24","0,52",320,227,2025-05-01
EDI,2025/Q1,"5,06","1,26","0,16","38,97","4,70","1,36","0,19","32,91","4,84","1,32","6,88","1,46","27,52","35,47","3,24%","1,92%","4,12%","3,48%","4,58%","4,81%","22,21%","2,28%","-11,31%",,"0,41","0,68","0,26","0,15","29,01","0,75","0,42","9,62",38 678 000,"12,50",6 141 000,"1,98","23,08","29,01","0,16","1,89","3,85","0,16","1,60","0,72","1,71","1,43",256,158,"1,03",355,"0,61","20,07","0,59",611,453,2025-05-01
EEE,2025/Q1,"1,56","2,26","0,18","19,32","1,87","1,88","0,24","14,84","0,91","3,89","3,16","1,69","9,72","13,29","11,71%","8,44%","12,69%","9,75%","15,70%","11,59%",,"10,99%","481,41%","9,90%","0,19","0,26",,,,,"0,31","0,56",-2 001 000,"-0,15",-15 047 000,"-1,13","1,83","1,83","0,92","1,91","3,25","1,12","0,67","0,42","0,61","7,15",51,67,"3,59",102,"1,52","2,08","0,88",153,86,2025-05-01
EEX,2024/Q1,"1,10","1,48","-0,59",,"1,18","1,38","-0,16",,"-2,54",,"3,15","2,66","-15,18","-19,13","-53,88%","-32,96%","-13,92%","-50,14%","-12,54%","-62,19%","13,52%","-9,15%","-441,01%","100,00%","1,89","3,09","0,12","3,97","1,32","0,69","3,95","4,63",44 670 000,"-16,38",19 970 000,"-7,32","1,17","1,32","0,00","0,03","0,26","0,00","0,03","-1,34","-2,25","10,15",36,918,"1,37",267,"1,36","1,30","0,66",303,-615,2024-05-01
EFE,2024/Q1,"0,29","0,57","0,01","21,92","0,01","29,02","0,01","15,43","0,27","0,60","0,18","31,60","106,28","16,80","2,61%","2,43%","188,11%","132,43%","188,11%","132,43%",,"3,45%","-471,15%",,"0,07","0,07","0,05",,"19,61","0,98","0,07","1,36",-8 753 000,"-159,15",476 000,"8,65","18,67","19,61",,"42,39","42,80","42,20","0,19","0,93","72,02","4,18",87,350,"-3,28",-111,"0,02","0,39","0,02",-24,-374,2024-05-01
EFK,2025/Q1,"24,94","0,25","1,13","5,55","7,67","0,82","3,22","1,96","-11,29",,"13,11","1,71","3,96","4,07","4,55%","2,80%","41,99%","14,79%","45,50%","22,53%",,"7,95%","31,38%",,"0,38","0,62","0,39","0,37","0,96","0,86","3,63","2,50",65 985 000,"3,99",33 999 000,"2,06","0,69","0,96","0,33","0,71","0,73","0,40","0,31","-0,04","-0,38","5,23",70,280,"36,01",10,"1,93","0,21","0,19",80,-200,2025-05-01
EGH,2025/Q1,"7,65","0,64","0,70","7,00","96,06","0,05","0,75","6,55","3,67","1,34","1,03","0,01","0,89","1,37","9,19%","4,80%","0,78%","0,73%","0,42%","0,74%",,"5,13%","19,80%","0,47%","0,45","0,85","0,07","5,58","1,91","0,56","0,64","1,10",4 538 000,"1,56",-9 786 000,"-3,37","1,72","1,83","0,77","1,25","1,69","0,78","0,50","0,28","0,04","34,75",11,21,"29,08",13,"10,46","20,80","6,96",24,3,2025-05-01
EHG,2024/Q4,"2,00","1,05","0,31","6,74","23,36","0,09","1,60","1,31","-7,58",,"11,89","0,51","4,60","7,43","15,55%","1,34%","6,86%","1,33%","3,43%","2,14%",,"6,90%","27,28%","125,12%","0,90","10,42",,,,,"1,57","0,32",3 448 120 749,"5,12",2 551 115 699,"3,79","0,20","0,20","0,08","0,62","0,64","0,37","0,26","-0,33","-0,35","4,38",83,316,"76,68",5,"1,92","2,44","1,08",88,-228,2025-02-01
EKE,2024/Q1,"0,02","3,98","0,00","47,22","0,00","2 290,07","0,00",,"0,00","398,27","0,09","2 301,32","-1 841,06","-1 841,06","8,42%","7,96%","-125,00%","4 850,00%","-150,00%","4 850,00%",,"-0,21%","-188,35%",,"0,06","0,06",,,,,"0,85","0,86",134 000,"-26,80",45 000,"-9,00","1,01","1,01",,"0,51","1,17",,"0,51","0,01","2,30","0,06",6 205,12 091,"0,11",3 239,"0,03","0,00","0,00",9 444,-2 647,2024-05-01
EKP,2025/Q1,"14,74",,"-10,00",,"-3,26",,"-8,43",,"0,02",,,,,,"-67,81%","-67,80%","258,55%","306,55%","31,88%","209,58%","49,80%","-57,18%","131,47%","84,14%","0,00","0,00",,,,,"0,15","0,15",29 287,"-0,00",-4 184,"0,00","1,00","1,00","0,13","6,75","6,75","0,13","6,38","0,00","-0,01","-13,67",-27,-22,,,"-13,31","-0,09","-0,09",,,2025-05-01
EKS,2025/Q1,"0,83","1,29","0,07","16,03","0,74","1,45","0,08","13,12","0,31","3,49","0,67","0,90","3,09","8,14","8,07%","2,68%","11,07%","9,06%","13,70%","11,24%","87,36%","3,28%","40,09%",,"0,67","2,01","0,04","0,07","1,65","0,34","0,84","1,34",22 897 000,"5,83",-7 412 000,"-1,89","1,59","1,65","0,25","1,20","1,21","0,25","0,95","0,14","-8,32","0,51",710,682,"4,08",89,"0,44","1,38","0,33",799,117,2025-05-01
ELM,2025/Q1,"-0,43",,"0,28","2,84","1,42","0,56","0,34","2,38","-1,22",,"1,70","1,20","5,06","5,06","-65,69%","15,09%","23,67%","19,88%","21,60%","22,68%","24,26%","17,97%","1 348,53%",,"1,23","-5,35",,,,,"2,14","-1,16",14 948 000,"6,84",5 856 000,"2,68","-0,54","-0,54",,"0,47","0,47",,"0,45","-0,65","-1,14","2,31",158,490,"1 164,67",0,"2,03","1,78","0,95",,,2025-05-01
ELQ,2025/Q1,"0,18","13,22","0,02","107,14","0,70","3,41","0,03","95,66","0,08","28,56","2,39","3,40","66,87","95,45","12,34%","3,97%","3,56%","3,18%","5,28%","2,73%",,"4,45%","-178,20%","92,42%","0,58","1,80","0,18","3,33","1,76","0,38","0,80","0,94",32 188 000,"8,99",-526 000,"-0,15","1,19","1,40","0,02","0,61","1,40","0,02","0,75","0,21","0,18","6,60",55,114,"2,36",154,"1,73","4,84","1,28",209,95,2025-05-01
ELT,2025/Q1,"13,86","3,39","3,74","12,60","55,46","0,85","5,21","9,03","9,61","4,90","45,62","0,82","8,05","8,76","26,95%","15,96%","9,40%","6,74%","9,37%","8,57%","15,39%","22,27%","458,85%",,"0,41","0,69","0,17","0,83","3,80","0,70","0,50","1,61",67 549 000,"1,19",-14 234 000,"-0,25","3,24","3,80","0,39","2,61","2,69","0,39","2,22","0,51","0,26","3,18",115,67,"51,11",7,"2,63","13,00","2,18",122,55,2025-05-01
EMC,2025/Q1,"5,19","2,08","0,29","37,74","19,61","0,55","0,60","18,01","-3,25",,"12,24","0,62","8,79","20,40","5,51%","2,44%","3,06%","1,46%","1,62%","2,34%",,"5,12%","27,24%","172,21%","0,53","1,19","0,44","3,20","0,85","0,64","2,11","1,25",247 582 000,"4,17",61 254 000,"1,03","0,59","0,85","0,10","0,69","0,75","0,10","0,58","-0,08","-0,05","9,43",39,67,"79,98",5,"6,92","2,28","1,71",44,-23,2025-05-01
EMP,2025/Q1,"0,69","5,82","-0,99",,"0,81","4,96","-0,99",,"-1,08",,"4,44","5,50","-16,45","-4,48","-144,68%","-30,75%","-122,76%","-123,30%","-251,56%","-123,30%",,"-30,62%","150,99%","105,47%","0,50","2,34",,,,,"3,05","0,77",1 836 000,"-5,92",501 000,"-1,62","0,25","0,25","0,01","-0,25","0,33","0,01","0,29","-0,33","-0,51","2,11",173,819,"4 345,33",0,"1,62","0,37","0,30",,,2025-05-01
ENA,2025/Q1,"30,87","0,50","2,70","5,68","60,75","0,25","5,95","2,57","-6,38",,"18,95","0,31","2,18","3,18","8,74%","4,14%","9,80%","4,44%","10,28%","7,84%",,"9,14%","18,23%","56,13%","0,49","1,04","0,61","1,90","1,27","0,76","1,25","0,98",11 736 030 000,"2,54",1 922 663 000,"0,42","0,78","1,27","0,72","1,70","1,95","0,76","0,94","0,19","0,24","5,03",73,109,"8,57",43,"2,11","1,48","0,87",116,7,2025-05-01
ENE,2025/Q1,"6,33","3,02","0,69","27,84","26,97","0,71","1,14","16,76","-9,66",,"27,06","1,00","7,02","23,74","10,84%","3,56%","4,23%","2,54%","3,59%","3,32%","8,78%","5,92%","19,64%","45,47%","0,67","2,04","1,29","1,83","0,90","0,75","3,96","1,57",316 832 000,"2,90",225 061 000,"2,06","0,40","0,90","0,35","0,65","0,68","0,36","0,29","-0,08","-0,07","17,64",21,63,"161,16",2,"9,01","1,70","1,43",23,-40,2025-05-01
ENG,2025/Q1,"29,53","0,41","0,87","13,72","54,18","0,22","3,46","3,46","-37,11",,"48,76","0,90","7,34","14,11","2,95%","1,04%","6,38%","1,61%","9,24%","2,89%","14,72%","4,12%","6,22%","94,35%","0,62","1,77","1,19","1,84","0,94","0,77","3,45","1,48",19 884 000 000,"7,23",15 237 000 000,"5,54","0,43","0,94","0,12","0,86","0,88","0,25","0,48","-0,02","-0,05","5,13",71,153,"73,87",5,"3,15","0,84","0,66",76,-77,2025-05-01
ENI,2025/Q1,"2,19","0,96","-0,49",,"2,83","0,75","-0,43",,"-1,70",,"2,70","0,95","-11,07","-6,33","-22,47%","-7,63%","-15,08%","-17,41%","-17,46%","-21,47%","1,58%","-6,61%","-49,64%","22,68%","0,66","1,94","0,32","5,15","0,74","0,45","1,66","0,94",69 287 000,"-15,77",10 641 000,"-2,42","0,56","0,74","0,12","0,68","0,72","0,12","0,16","-0,16","-0,39","4,05",90,395,"26,31",14,"1,71","0,57","0,43",104,-291,2025-05-01
