ticker,name,adress,industry
SAN,SANTANDER,https://www.biznesradar.pl/notowania/SANTANDER,Banki
SCP,SCPFL,https://www.biznesradar.pl/notowania/SCP,Biotechnologia
SEK,SEKO,https://www.biznesradar.pl/notowania/SEKO,Artykuły spożywcze
SEL,SELENAFM,https://www.biznesradar.pl/notowania/SELENA-FM,Budownictwo
SFS,SFINKS,https://www.biznesradar.pl/notowania/SFINKS,Rekreacja i wypoczynek
SGN,SYGNITY,https://www.biznesradar.pl/notowania/SYGNITY,Informatyka
SHO,SHOPER,https://www.biznesradar.pl/notowania/SHO,Informatyka
SIM,SIMFABRIC,https://www.biznesradar.pl/notowania/SIM,Gry
SKA,SNIEZKA,https://www.biznesradar.pl/notowania/SNIEZKA,Budownictwo
SKH,SKARBIEC,https://www.biznesradar.pl/notowania/SKARBIEC-HOLDING,Rynek kapitałowy
SKL,SKYLINE,https://www.biznesradar.pl/notowania/SKYLINE-INVESTMENT,Działalność inwestycyjna
SLV,SELVITA,https://www.biznesradar.pl/notowania/SLV,Biotechnologia
SNK,SANOK,https://www.biznesradar.pl/notowania/SNK,Motoryzacja
SNT,SYNEKTIK,https://www.biznesradar.pl/notowania/SYNEKTIK,Biotechnologia
SNW,SANWIL,https://www.biznesradar.pl/notowania/SANWIL-HOLDING,Odzież i kosmetyki
SNX,SUNEX,https://www.biznesradar.pl/notowania/SUNEX,Przemysł elektromaszynowy
SON,SONEL,https://www.biznesradar.pl/notowania/SONEL,Przemysł elektromaszynowy
SPL,SANPL,https://www.biznesradar.pl/notowania/SPL,Banki
SPR,SPYROSOFT,https://www.biznesradar.pl/notowania/SPR,Informatyka
STF,STALPROFI,https://www.biznesradar.pl/notowania/STALPROFIL,Zaopatrzenie przedsiębiorstw
STP,STALPROD,https://www.biznesradar.pl/notowania/STALPRODUKT,Hutnictwo
STS,SATIS,https://www.biznesradar.pl/notowania/STS,Informatyka
STX,STALEXP,https://www.biznesradar.pl/notowania/STALEXPORT-AUTOSTRADY,Transport i logistyka
SVE,SNTVERSE,https://www.biznesradar.pl/notowania/SVE,Produkcja leków
SVRS,SILVAIR-REGS,https://www.biznesradar.pl/notowania/SVRS,Informatyka
SWG,SECOGROUP,https://www.biznesradar.pl/notowania/SECO-WARWICK,Przemysł elektromaszynowy
TAR,TARCZYNSKI,https://www.biznesradar.pl/notowania/TARCZYNSKI,Artykuły spożywcze
TEN,TSGAMES,https://www.biznesradar.pl/notowania/TEN,Gry
THG,TENDERHUT,https://www.biznesradar.pl/notowania/THG,Nowe technologie
TLX,TALEX,https://www.biznesradar.pl/notowania/TALEX,Informatyka
TOA,TOYA,https://www.biznesradar.pl/notowania/TOYA,Handel hurtowy
TOR,TORPOL,https://www.biznesradar.pl/notowania/TORPOL,Budownictwo
TPE,TAURONPE,https://www.biznesradar.pl/notowania/TAURON,Energia
TRK,TRAKCJA,https://www.biznesradar.pl/notowania/TRAKCJA,Budownictwo
TRN,TRANSPOL,https://www.biznesradar.pl/notowania/TRANS-POLONIA,Transport i logistyka
TRR,TERMOREX,https://www.biznesradar.pl/notowania/TERMO-REX,Paliwa i gaz
TSG,TESGAS,https://www.biznesradar.pl/notowania/TESGAS,Budownictwo
TXT,TEXT,https://www.biznesradar.pl/notowania/TXT,Informatyka
UCG,UNICREDIT,https://www.biznesradar.pl/notowania/UNICREDIT,Banki
