Spółka,Rok,Data publikacji,Aktywa trwałe,Wartości niematerialne i prawne,Wartość firmy,Rzeczowe składniki majątku trwałego,Aktywa z tytułu prawa do użytkowania,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Gotówka i operacje z bankami centralnymi,Należności od banków,Aktywa finansowe przeznaczone do obrotu,Pochodne instrumenty zabezpieczające,Należności od klientów,Inwestycyjne aktywa finansowe,Inwestycje w podmioty stowarzyszone,Wartości niematerialne,Rzeczowy majątek trwały,Aktywa z tytułu odroczonego podatku dochodowego netto,Pozostałe aktywa,Zobowiązania wobec banku centralnego,Zobowiązania wobec banków,Zobowiązania finansowe przeznaczone do obrotu,Zobowiązania wobec klientów,Zobowiązania z tytułu emisji dłużnych pap. wart.,Zobowiązania podporządkowane,Zobowiązania z tytułu bieżącego podatku dochodowego,Pozostałe pasywa,Zobowiązania razem,Kapitały własne,Kapitał akcyjny,Pozostałe kapitały,Kapitał z aktualizacji wyceny,Zyski zatrzymane,Wynik roku bieżącego,Kapitały razem
3RG,2013,,6951.0,5272.0,0.0,1108.0,,0.0,507.0,64.0,12207.0,0.0,1082.0,11076.0,11076.0,49.0,0.0,19158.0,16581.0,756.0,332.0,23264.0,0.0,352.0,1532.0,0.0,0.0,300.0,38.0,2225.0,393.0,0.0,19158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RG,2014,,12524.0,5514.0,0.0,532.0,,0.0,6346.0,132.0,4882.0,0.0,945.0,3905.0,3881.0,32.0,0.0,17406.0,15129.0,748.0,0.0,23264.0,0.0,96.0,1228.0,0.0,0.0,217.0,23.0,2181.0,736.0,0.0,17406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RG,2015,,11408.0,8493.0,329.0,241.0,,15.0,2596.0,63.0,6598.0,1270.0,1526.0,3682.0,3658.0,120.0,0.0,18006.0,14966.0,1845.0,0.0,31719.0,49.0,0.0,1740.0,0.0,0.0,82.0,0.0,2991.0,1169.0,0.0,18006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RG,2016,,14521.0,13384.0,5510.0,514.0,,356.0,0.0,267.0,7216.0,1753.0,1410.0,3946.0,1229.0,107.0,0.0,21737.0,16066.0,1845.0,0.0,32475.0,175.0,0.0,2942.0,1115.0,0.0,8.0,0.0,5496.0,1431.0,0.0,21737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RG,2017,,8660.0,7952.0,4597.0,414.0,,261.0,0.0,33.0,3182.0,1872.0,986.0,209.0,209.0,115.0,0.0,11842.0,5456.0,1845.0,0.0,32475.0,114.0,0.0,3133.0,2035.0,0.0,0.0,0.0,6272.0,1104.0,0.0,11842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RG,2018,,2668.0,2225.0,936.0,346.0,,97.0,0.0,0.0,2057.0,1511.0,316.0,21.0,21.0,209.0,0.0,4725.0,1490.0,2600.0,0.0,35629.0,7.0,0.0,2500.0,16.0,0.0,0.0,0.0,3228.0,712.0,0.0,4725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RG,2019,,2036.0,1101.0,87.0,935.0,,0.0,0.0,0.0,7023.0,3452.0,2507.0,817.0,817.0,247.0,0.0,9059.0,-4636.0,3200.0,0.0,38028.0,-96.0,359.0,2315.0,10154.0,0.0,304.0,0.0,13432.0,659.0,0.0,9059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RG,2020,,15681.0,15602.0,15602.0,79.0,0.0,0.0,0.0,0.0,1172.0,106.0,129.0,785.0,785.0,152.0,0.0,16853.0,14844.0,7364.0,0.0,55502.0,0.0,721.0,59.0,904.0,0.0,0.0,0.0,1288.0,325.0,0.0,16853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RG,2021,,15602.0,15602.0,15602.0,0.0,0.0,0.0,0.0,0.0,1594.0,1169.0,73.0,3.0,3.0,349.0,0.0,17196.0,13930.0,7364.0,0.0,3184.0,0.0,2797.0,170.0,102.0,0.0,0.0,0.0,469.0,197.0,0.0,17196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RG,2022,,15602.0,15602.0,15602.0,0.0,0.0,0.0,0.0,0.0,1283.0,0.0,489.0,794.0,794.0,0.0,0.0,16885.0,15788.0,7564.0,0.0,3125.0,0.0,0.0,112.0,0.0,0.0,785.0,0.0,1097.0,200.0,0.0,16885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
