Spółka,Rok,Data publikacji,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Skup akcji,Płatności z tytułu umów leasingu,Przepływy pieniężne razem,Free Cash Flow,Przepływy operacyjne razem
ABE,2015,,-68533.0,13658.0,-17729.0,18908.0,17947.0,0.0,0.0,0.0,,-68315.0,-87441.0,
ABE,2016,,-5382.0,14208.0,-9922.0,9976.0,67502.0,0.0,0.0,0.0,,52198.0,-15358.0,
ABE,2017,,69916.0,13441.0,-5914.0,6300.0,-27745.0,0.0,0.0,0.0,,36257.0,63616.0,
ABE,2018,,70011.0,13062.0,-4738.0,4855.0,-92442.0,0.0,0.0,0.0,,-27169.0,65156.0,
ABE,2019,,287320.0,15786.0,-4282.0,4835.0,-93363.0,0.0,0.0,898.0,2565.0,189675.0,279920.0,
ABE,2020,,-211651.0,17002.0,-11294.0,11307.0,33154.0,0.0,7103.0,0.0,2859.0,-189791.0,-225817.0,
ABE,2021,,-4503.0,18944.0,-23554.0,24081.0,-10988.0,0.0,16143.0,1031.0,3268.0,-39045.0,-31852.0,
ABE,2022,,144405.0,24975.0,-11593.0,12279.0,-131026.0,0.0,20085.0,8440.0,2517.0,1786.0,129609.0,
ABE,2024,,237216.0,22903.0,-9758.0,10731.0,-167120.0,0.0,31654.0,3420.0,6831.0,60338.0,219654.0,
ABE,O4K,,171900.0,22202.0,-7984.0,8963.0,-95427.0,0.0,31654.0,3777.0,6659.0,68489.0,156278.0,
ACG,2008,,25021.0,1619.0,-14578.0,15469.0,-8075.0,0.0,11620.0,,,2368.0,9552.0,
ACG,2009,,34026.0,2917.0,-5901.0,5864.0,-10095.0,0.0,19133.0,,,18030.0,28162.0,
ACG,2010,,11669.0,3533.0,-6113.0,5771.0,-25582.0,0.0,20999.0,,,-20026.0,5898.0,
ACG,2011,,23716.0,2576.0,-13535.0,14087.0,580.0,0.0,0.0,,,10761.0,9629.0,
ACG,2012,,33032.0,3595.0,-21740.0,12726.0,-12537.0,428.0,22499.0,,,-1245.0,20306.0,
ACG,2013,,24246.0,4937.0,-6708.0,17342.0,-22673.0,432.0,20120.0,,,-5135.0,6904.0,
ACG,2014,,26830.0,6512.0,-10493.0,8978.0,-20603.0,0.0,22037.0,,,-4266.0,17852.0,
ACG,2015,,33905.0,6498.0,-4859.0,4278.0,-21581.0,0.0,22204.0,,,7465.0,29627.0,
ACG,2016,,37275.0,7102.0,-11077.0,7934.0,-40701.0,0.0,48457.0,,,-14503.0,29341.0,
ACG,2017,,31516.0,7904.0,-9064.0,10304.0,-7702.0,0.0,26236.0,0.0,,14750.0,21212.0,
ACG,2018,,50690.0,9299.0,-21554.0,21625.0,-42440.0,0.0,24490.0,0.0,68.0,-13304.0,28997.0,
ACG,2019,,41601.0,11463.0,-23527.0,23694.0,-20421.0,0.0,38922.0,0.0,101.0,-2347.0,17806.0,
ACG,2020,,18841.0,10893.0,-15943.0,14272.0,-2931.0,0.0,18436.0,0.0,19.0,-33.0,4550.0,
ACG,2021,,27646.0,11563.0,-8819.0,9517.0,-18025.0,0.0,22163.0,0.0,0.0,802.0,18129.0,
ACG,2022,,43543.0,12710.0,-5325.0,5569.0,-39401.0,0.0,20147.0,0.0,0.0,-1183.0,37974.0,
ACG,2023,,16358.0,12097.0,-6248.0,6496.0,-9540.0,0.0,0.0,35000.0,32.0,570.0,9830.0,
ACG,2024,,41492.0,11773.0,-3973.0,4139.0,-37023.0,0.0,27596.0,0.0,175.0,496.0,37178.0,
ACG,O4K,,25949.0,11973.0,-4230.0,4509.0,-20314.0,0.0,27596.0,0.0,104.0,1405.0,21336.0,
ACTION,2005,,-4680.0,7651.0,-4314.0,4647.0,7608.0,0.0,3405.0,,,-1386.0,-9327.0,
ACTION,2006,,4448.0,6464.0,-4716.0,3744.0,3689.0,51523.0,0.0,0.0,,3421.0,704.0,
ACTION,2007,,-29252.0,7334.0,-24036.0,30268.0,53563.0,0.0,2461.0,0.0,,275.0,-59520.0,
ACTION,2008,,-46993.0,12487.0,-27938.0,27847.0,76034.0,0.0,4431.0,0.0,,1103.0,-74840.0,
ACTION,2009,,165362.0,11822.0,-28324.0,28625.0,-139021.0,12130.0,23680.0,0.0,,-1983.0,136737.0,
ACTION,2010,,-8364.0,11646.0,-1334.0,4471.0,10552.0,0.0,13948.0,0.0,,854.0,-12835.0,
ACTION,2011,,5059.0,11468.0,-5926.0,4182.0,1308.0,0.0,7057.0,0.0,,441.0,877.0,
ACTION,2012,,14741.0,11361.0,-5947.0,2831.0,-9313.0,0.0,13784.0,0.0,,-519.0,11910.0,
ACTION,2013,,101341.0,9301.0,-17081.0,18647.0,-54200.0,0.0,24615.0,0.0,,30060.0,82694.0,
ACTION,2014,,-81810.0,9546.0,-62173.0,59731.0,220571.0,0.0,16610.0,0.0,,76588.0,-141541.0,
ACTION,2015,,51122.0,13198.0,-17555.0,17320.0,-109827.0,0.0,16610.0,0.0,,-76260.0,33802.0,
ACTION,2016,,104494.0,11932.0,-3897.0,3931.0,13723.0,0.0,0.0,0.0,,114320.0,100563.0,
ACTION,2017,,61270.0,10074.0,1184.0,615.0,-129513.0,0.0,0.0,0.0,,-67059.0,60655.0,
ACTION,2018,,31572.0,8938.0,21.0,1414.0,-23494.0,0.0,0.0,0.0,2188.0,8099.0,27970.0,
ACTION,2019,,-13869.0,8388.0,415.0,546.0,-4476.0,0.0,0.0,0.0,4329.0,-17930.0,-18744.0,
ACTION,2020,,23581.0,8167.0,5780.0,775.0,-419.0,0.0,0.0,0.0,365.0,28942.0,22441.0,
ACTION,2021,,-48594.0,8164.0,-2971.0,5904.0,-467.0,0.0,0.0,0.0,376.0,-52032.0,-54874.0,
ACTION,2022,,17774.0,8580.0,-5774.0,5774.0,-8675.0,0.0,0.0,0.0,627.0,3325.0,11373.0,
ACTION,2023,,69081.0,9052.0,-15136.0,6050.0,-34386.0,0.0,0.0,32857.0,917.0,19559.0,62114.0,
ACTION,2024,,40109.0,8983.0,11494.0,5806.0,-79220.0,0.0,0.0,76814.0,1914.0,-27617.0,32389.0,
ACTION,O4K,,-6348.0,9268.0,3220.0,7941.0,-79292.0,0.0,0.0,77365.0,2154.0,-82420.0,-16443.0,
ADIUVO-INVESTMENT,2013,,-11059.0,3.0,-657.0,14.0,13631.0,14929.0,0.0,,,1915.0,-11073.0,
ADIUVO-INVESTMENT,2014,,-6842.0,408.0,-798.0,134.0,7938.0,11068.0,0.0,0.0,,298.0,-6976.0,
ADIUVO-INVESTMENT,2015,,-17997.0,273.0,-14074.0,827.0,44300.0,43166.0,0.0,0.0,,12229.0,-18824.0,
ADIUVO-INVESTMENT,2016,,-20270.0,955.0,-15884.0,11287.0,31554.0,0.0,0.0,0.0,,-4600.0,-31557.0,
ADIUVO-INVESTMENT,2017,,-32330.0,1089.0,6145.0,9710.0,20533.0,0.0,0.0,0.0,,-5652.0,-42040.0,
ADIUVO-INVESTMENT,2018,,-14562.0,3115.0,-7966.0,3943.0,20381.0,16094.0,0.0,0.0,0.0,-2147.0,-18505.0,
ADIUVO-INVESTMENT,2019,,-4306.0,962.0,-8485.0,6681.0,12145.0,12370.0,0.0,0.0,204.0,-646.0,-11191.0,
ADIUVO-INVESTMENT,2020,,-9358.0,498.0,-5931.0,5012.0,16787.0,0.0,0.0,0.0,215.0,1498.0,-14585.0,
ADIUVO-INVESTMENT,2021,,-5777.0,397.0,-1259.0,41.0,4382.0,0.0,0.0,0.0,247.0,-2654.0,-6065.0,
ADIUVO-INVESTMENT,2022,,-7615.0,580.0,-130.0,134.0,7746.0,3548.0,0.0,0.0,0.0,1.0,-7749.0,
ADIUVO-INVESTMENT,2023,,-4980.0,6.0,106.0,6.0,5432.0,2907.0,0.0,0.0,0.0,558.0,-4986.0,
ADIUVO-INVESTMENT,2024,,-3417.0,38.0,3108.0,0.0,-232.0,0.0,0.0,0.0,0.0,-541.0,-3417.0,
ADIUVO-INVESTMENT,O4K,,-3173.0,192.0,3101.0,0.0,-28.0,0.0,0.0,0.0,19.0,-100.0,-3192.0,
AGORA,2004,,191980.0,103340.0,-44549.0,34917.0,-10567.0,0.0,0.0,,,136864.0,157063.0,
AGORA,2005,,230365.0,96444.0,-111087.0,44099.0,-157034.0,0.0,28377.0,,,-37756.0,186266.0,
AGORA,2006,,147059.0,76949.0,33776.0,47858.0,-35786.0,0.0,27489.0,,,145049.0,99201.0,
AGORA,2007,,203167.0,78329.0,-109797.0,52126.0,-90415.0,0.0,82433.0,,,2955.0,151041.0,
AGORA,2008,,189598.0,83817.0,-169628.0,115965.0,-93887.0,0.0,27489.0,,,-73917.0,73633.0,
AGORA,2009,,152655.0,81234.0,-204144.0,54885.0,-88029.0,0.0,0.0,,,-139518.0,97770.0,
AGORA,2010,,171554.0,82465.0,-138104.0,51596.0,24683.0,0.0,25469.0,0.0,,58133.0,119958.0,
AGORA,2011,,152241.0,92787.0,-115549.0,73307.0,-93545.0,0.0,25469.0,0.0,,-56853.0,78934.0,
AGORA,2012,,92006.0,93790.0,85445.0,110142.0,-112039.0,0.0,50937.0,0.0,,65412.0,-18136.0,
AGORA,2013,,109468.0,96088.0,-120882.0,68788.0,-79949.0,0.0,0.0,0.0,,-91363.0,40680.0,
AGORA,2014,,97820.0,96030.0,-43007.0,77607.0,-102037.0,0.0,0.0,30060.0,,-47224.0,20213.0,
AGORA,2015,,111076.0,101988.0,-128976.0,89755.0,-3267.0,0.0,0.0,9288.0,,-21167.0,21321.0,
AGORA,2016,,96994.0,98188.0,-28691.0,88920.0,-49269.0,0.0,35749.0,0.0,,19034.0,8074.0,
AGORA,2017,,77262.0,103007.0,-41232.0,70016.0,-67029.0,0.0,0.0,21744.0,,-30999.0,7246.0,
AGORA,2018,,81130.0,87634.0,-19819.0,83722.0,-47506.0,0.0,23290.0,0.0,11781.0,13805.0,-14373.0,
AGORA,2019,,205483.0,158037.0,-100501.0,111424.0,-76920.0,0.0,23290.0,0.0,72364.0,28062.0,21695.0,
AGORA,2020,,131874.0,162989.0,-24447.0,66583.0,-30137.0,0.0,0.0,0.0,39887.0,77290.0,25404.0,
AGORA,2021,,126805.0,161379.0,-18726.0,49463.0,-111556.0,0.0,0.0,0.0,54180.0,-3477.0,23162.0,
AGORA,2022,,76817.0,158137.0,-38609.0,76486.0,-104032.0,0.0,0.0,0.0,80874.0,-65824.0,-80543.0,
AGORA,2023,,246636.0,172126.0,-19482.0,60879.0,-205808.0,0.0,0.0,0.0,90855.0,21346.0,94902.0,
AGORA,2024,,259998.0,178349.0,-39374.0,61602.0,-180481.0,0.0,0.0,0.0,91841.0,40143.0,106555.0,
AGORA,O4K,,248903.0,180759.0,-50810.0,63154.0,-176851.0,0.0,0.0,0.0,91596.0,21242.0,94153.0,
AGROTON,2007,,15197.0,8532.0,-26605.0,28073.0,22533.0,0.0,0.0,,,11126.0,-12876.0,
AGROTON,2008,,-12037.0,16912.0,-43565.0,28013.0,25326.0,0.0,0.0,,,-30276.0,-40049.0,
AGROTON,2009,,19063.0,13077.0,-2192.0,2149.0,80889.0,111070.0,0.0,,,97760.0,16914.0,
